ticker,date,avg_sentiment,post_count,avg_score,avg_upvote_ratio,avg_comments,Date,Open,Close,Volume,daily_return,next_day_return,target,sentiment_3d_avg,post_count_3d
AAPL,2026-03-13,-0.2003,1,408.0,0.93,153.0,2026-03-13,255.47999572753903,250.1199951171875,36930000,-0.020980118600235916,0.0028162576341608037,1,-0.2003,1.0
AMZN,2026-03-27,-0.5267,1,37.0,0.82,62.0,2026-03-27,206.4600067138672,199.33999633789065,56009800,-0.034486148137368576,-0.002630528045144307,0,-0.5267,1.0
AMZN,2026-03-31,0.0,1,11.0,0.66,17.0,2026-03-31,204.8500061035156,208.27000427246097,58470100,0.016695133351458932,0.0006177764745497846,1,-0.26335,2.0
GOOGL,2026-03-24,0.0,1,435.0,0.86,214.0,2026-03-24,299.20001220703125,290.44000244140625,36864300,-0.029278106310916582,-0.008553740951274003,0,0.0,1.0
GOOGL,2026-03-27,0.0,1,184.0,0.93,97.0,2026-03-27,277.2799987792969,274.3399963378906,35890600,-0.010603009428553724,-0.010563683112249636,0,0.0,2.0
META,2026-03-12,0.0,1,687.0,0.97,109.0,2026-03-12,648.1950599902964,637.6340942382812,11617500,-0.016292882195327492,-0.016316966831914664,0,0.0,1.0
META,2026-03-16,-0.1366,2,813.5,0.955,136.0,2026-03-16,632.0,627.4500122070312,15134900,-0.007199347773684731,-0.008487423641664273,0,-0.0683,3.0
META,2026-03-25,0.5994,1,2527.0,0.98,491.0,2026-03-25,598.739990234375,594.8900146484375,12585000,-0.006430129352860561,-0.06000105202317469,0,0.1542666666666667,4.0
META,2026-03-26,-0.06395,4,1377.0,0.935,249.0,2026-03-26,582.489990234375,547.5399780273438,35780100,-0.06000105202317469,-0.026624709373874872,0,0.13295,7.0
META,2026-03-27,-0.1906333333333333,3,93.33333333333331,0.8766666666666666,53.666666666666664,2026-03-27,540.0999755859375,525.719970703125,30133000,-0.026624709373874872,0.0,0,0.11493888888888888,8.0
META,2026-03-30,0.0,2,24.0,0.755,30.5,2026-03-30,536.3800048828125,536.3800048828125,22795200,0.0,0.040274237609856184,1,-0.0848611111111111,9.0
META,2026-03-31,0.4404,1,25.0,0.82,9.0,2026-03-31,549.97998046875,572.1300048828125,32898300,0.040274237609856184,-0.0015514184863517047,0,0.08325555555555558,6.0
META,2026-04-01,0.7096,1,3.0,0.55,18.0,2026-04-01,580.1300048828125,579.22998046875,23608100,-0.0015514184863517047,0.01487535204608066,1,0.3833333333333333,4.0
MSFT,2026-03-24,0.0,1,446.0,0.88,244.0,2026-03-24,382.3599853515625,372.739990234375,42733600,-0.025159523709946674,-0.015600139746731315,0,0.0,1.0
MSFT,2026-03-27,0.0,1,1417.0,0.97,197.0,2026-03-27,361.8999938964844,356.7699890136719,37883400,-0.01417520024683906,-0.008123797985603696,0,0.0,2.0
MSFT,2026-03-30,0.7783,1,1934.0,0.88,652.0,2026-03-30,361.8999938964844,358.9599914550781,44797000,-0.008123797985603696,0.015416337465240423,1,0.25943333333333335,3.0
MSFT,2026-04-01,0.504,1,0.0,0.35,40.0,2026-04-01,373.489990234375,369.3699951171875,29417200,-0.011031072384569376,0.017020234049825902,1,0.42743333333333333,3.0
NVDA,2026-03-13,0.0,1,37.0,0.85,22.0,2026-03-13,184.9199981689453,180.25,160988400,-0.0252541543109834,0.001366344200317535,1,0.0,1.0
NVDA,2026-03-20,0.0,1,28.0,0.86,10.0,2026-03-20,178.0,172.6999969482422,241323500,-0.029775298043583216,-0.009139090417409585,0,0.0,2.0
NVDA,2026-03-30,0.0,1,0.0,0.33,5.0,2026-03-30,168.77999877929688,165.1699981689453,185627000,-0.021388793911961905,0.044498967607721276,1,0.0,3.0
NVDA,2026-03-31,0.0,1,8.0,0.76,0.0,2026-03-31,166.97000122070312,174.39999389648438,226181300,0.044498967607721276,-0.0014204545454545455,0,0.0,3.0
TSLA,2026-03-27,0.0,1,0.0,0.45,7.0,2026-03-27,369.69000244140625,361.8299865722656,62065700,-0.021261099346029495,-0.028918129874463027,0,0.0,1.0
TSLA,2026-04-01,-0.6705,1,0.0,0.42,31.0,2026-04-01,378.6300048828125,381.260009765625,58683800,0.00694610793887425,-0.009912179429276214,0,-0.33525,2.0
